runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;rejections;rejectionRate
null;0;13;422.46;481;481;458.5;436;364.62;3077.44;3042.78;787.08;37;0.74
null;1;13;422.46;481;481;458.5;436;364.62;3077.44;3042.78;787.08;37;0.74
